,abv,adv_score,avg_rating,beer_desc,beer_name,beer_type,brewery,num_ratings,style_rank,total_rank
3,6.5%,92.0,4.14,"Foster is our Black Wheat IPA, brewed with a large percentage of malted wheat and hopped with our favorite American hop varieties.	",Foster,IPA - Black / Cascadian Dark Ale,Hill Farmstead Brewery,227.0,23.0,3391.0
4,10.25%,88.0,3.96,"A very hoppy citrus nose leads this beer, with low malt and high hops in flavor. The Belgian yeast leaves the palate creamy instead of dry. This is an awe-some beer for Belgian and hop fans alike.	",Aldebaran,IPA - Belgian,Kuhnhenn Brewing Company,160.0,39.0,11228.0
5,6.5%,87.0,3.87,"A Colorado IPA with crisp, juicy, and resinous hops and a rich, malty finish.,
,
IBUs: 65	",India Pale Ale (IPA),IPA - American,Avery Brewing Company,3191.0,3358.0,17811.0
7,6.7%,85.0,3.92,,Westy,California Common / Steam Beer,Sun King Brewing Company,16.0,8.0,23132.0
11,5.6%,83.0,3.67,"Brooklyn Winter Lager is our answer to the heavy ales and stouts that emerge in wintertime. Though dark in color with a sturdy presence, our Schwarzbier-inspired lager layers notes of chocolate, roasted barley, and dark bread into a 5.6% ABV frame that finishes surprisingly light and pleasantly dry. Winter means different things depending where you live, but Brooklyn Winter Lager is ready for any chill.	",Winter Lager,Lager - Schwarzbier,Brooklyn Brewery,85.0,135.0,38710.0
14,7.5%,84.0,3.72,"The TuberFest is a smooth and malty lager that is counterbalanced with some delicious Pacific NorthWestern Idaho #7 hops, giving it a cedary, herbal zing… Brewed to jumpstart your salubrious slide into late-Summer.	",Tuberfest,Lager - Märzen / Oktoberfest,Lagunitas Brewing Company,311.0,210.0,36240.0
16,6.3%,95.0,4.29,"This beer is a sour red ale fermented with Maine cherries and Brettanomyces in stainless for almost a year. The cherries were a blend of Balaton and Montmorrency and added at a rate of 2lbs per gallon. Copper in color, Nancy has an aroma of cherries, bread crust and a touch of cinnamon. The flavor is a medley of tart cherry, citrus and pie spice. We think you'll dig it!	",Nancy,Wild Ale,Allagash Brewing Company,728.0,129.0,976.0
17,8.7%,94.0,4.25,Oblivion is a sour red ale aged with blackberries and dates in red wine barrels for 8-10 months.	,Oblivion,Wild Ale,Wicked Weed Brewing,737.0,182.0,1298.0
18,7%,94.0,4.21,"Pluots are some of our favorite fruits. Created by cross-breeding apricots and plums, there are dozens of varieties with an amazing range of color and flavor. All through the summer, Blossom Bluff Orchards picks each variety at its peak: Dapple Dandy, Honey Punch, Flavor Queen, Black Kat & Dapple Jack were all added to a sour blonde ale and aged in wine barrels to create this funky oak-aged brew.	",Farmer's Reserve Pluot,Wild Ale,Almanac Beer Co.,746.0,240.0,1688.0
19,12.3%,95.0,4.29,"This Northwest style sour is a blend of spiced Quads, Triples and Blondes aged in Bourbon and wine barrels for over 18 months with orange peel and coriander. Vlad offers a fresh acidity and mild sweetness with flavors of citrus, spice and rich oak. Winner of the Silver Medal at the 2008 GABF. ABV 12.3%,
,
First Release: 9.5% ABV,
Second Release (Sept 2010): 10.6% ABV,
Third Release: 2011 - 10.91%	",Cascade Vlad The Imp Aler,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,752.0,128.0,971.0
20,7%,94.0,4.21,"Shut up and listen. Unfiltered, unpasteurized, and naturally conditioned.,
,
Previously known as Barrel Aged Sour Black Metal Imperial Stout.	",Funk Metal,Wild Ale,Jester King Brewery,755.0,239.0,1686.0
21,5.4%,99.0,4.51,"Ale Refermented in Oak Barrels With Apricots: Aurelian Lure California Apricots were added to oak barrels containing mature sour beer. The beer was then allowed to referment to dryness. Unfiltered, unpasteurized and naturally conditioned.	",Aurelian Lure,Wild Ale,Jester King Brewery,758.0,14.0,182.0
22,9%,86.0,3.8,"Aged in oak barrels; hand-bottled corked & caged; bottled-conditioned. A greater percentage of ""Cosmic Mother Funk"" was blended into this beer.	",Samuel Adams Stony Brook Red (Barrel Room Collection),Wild Ale,Boston Beer Company (Samuel Adams),772.0,1668.0,27139.0
23,8.9%,96.0,4.31,"FV 13 marks our first venture into the world of foudre beers. Foudres are giant oak tanks used for aging (this one holds 2700 gallons.) FV 13 is a blend of wild yeast and bacteria, a base beer with lots of malt character, and about four years of patience.	",FV 13,Wild Ale,Allagash Brewing Company,782.0,100.0,846.0
24,6.5%,93.0,4.19,"Sans Pagaie translates to “without a paddle” and is our take on the Belgian-style kriek, a sour blonde ale aged in barrels with cherries. The base beer has a subtle funk that melds gently with the fruit giving this beer flavors reminiscent of coconut, vanilla yogurt and of course, fresh cherries. A complex beer, perfect for a warm California day in the park with a slice of home made chocolate cake.	",Sans Pagaie,Wild Ale,Bruery Terreux,789.0,281.0,1954.0
25,5.7%,97.0,4.4,"FARM TO FACE was brewed as a pale ale and fermented in stainless with our house yeast. After primary fermentation, pediococcus and lactobacillus were added along with 3lbs of peaches per gallon. Ten months later, the finshed beer is bright amber in color with peach, graham cracker and green apple in the aroma. Drinking this medium bodied beer is like biting into a juicy peach with tartness throughout. The finish has a long lasting peachyness.	",Farm To Face,Wild Ale,Allagash Brewing Company,799.0,42.0,404.0
26,6.5%,92.0,4.13,"Kriek Lambic blended from three different aged beers up to 2 years old, aged in Woodcut barrels.	",Friek,Wild Ale,Odell Brewing Company,810.0,485.0,2964.0
28,7.5%,89.0,3.98,"A sour brown ale inspired by the enigmatic monastic brews of Belgium, and the mysterious mist shrouded jungles of the tropics. Brewed with real cacao, and spiced with cinnamon and sweet orange peel for a sensual delight. A brew to be sipped, savored, and enjoyed!	",Maracaibo Especial,Wild Ale,Jolly Pumpkin Artisan Ales,811.0,1267.0,8237.0
29,5.9%,96.0,4.34,"Ale Refermented in Oak Barrels With Blackberries: Nocturn Chrysalis Kiowa Blackberries from Oglesby, Texas were added to oak barrels containing mature sour beer. The beer was then allowed to referment to dryness. Unfiltered, unpasteurized and naturally conditioned.	",Nocturn Chrysalis,Wild Ale,Jester King Brewery,827.0,82.0,646.0
30,10.2%,93.0,4.19,"Full-flavored, dry, champagne-like farmhouse ale, matured in oak whiskey and wine barrels with multiple strains of wild yeast and bacteria. Look for lots of tropical fruit and funk, with a sour, earthy edge.	",Boxer's Revenge,Wild Ale,Jester King Brewery,830.0,280.0,1941.0
31,7.5%,89.0,3.99,Golden sour blended with lychee fruit and Saigon cinnamon	,"Tart Lychee, Tropical Sour",Wild Ale,New Belgium Brewing Company,831.0,1211.0,7641.0
32,6.5%,93.0,4.16,Luscious ripe red raspberries are elegantly intertwined with a bountiful amount of lactic acidity and delicate barrel nuances to cultivate this stunning sour ale.	,Barrel-Aged Raspberry Sour,Wild Ale,Avery Brewing Company,845.0,362.0,2424.0
33,7%,96.0,4.35,"This sour ale is inspired by the agricultural history of the Santa Clara Valley. Long before it became Silicon Valley, it was known as the Valley of The Heart’s Delight, a fertile basin overflowing with fruit orchards. Brewed with foraged apricots handpicked by the Garden To Table non-profit, this collaborative beer celebrates and supports their mission to promote urban farming in San Jose.	",Valley Of The Heart's Delight,Wild Ale,Almanac Beer Co.,881.0,77.0,592.0
34,10.1%,94.0,4.22,"The Vine is a blend of sour wheat and blond ales aged in white wine barrels for up to 18 months with Gewurztraminer grapes. ,
,
ABV seems to vary, between 8.33-10.1%	",Cascade The Vine,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,909.0,220.0,1552.0
35,6.1%,100.0,4.53,"Montmorency and Balaton® cherries from Michigan were added to mature, sour, barrel-aged beer, and allowed to referment to dryness. Unfiltered, unpasteurized, and 100% naturally conditioned. ,
,
Balaton® is a registered trademark of Michigan State University.	",Montmorency Vs Balaton,Wild Ale,Jester King Brewery,914.0,11.0,138.0
36,7.33%,92.0,4.15,"This NW style sour ale blends wheat and blond ales that were oak aged in barrels for six months, then additionally aged four months on fresh blueberries. Huge herbal notes of dense blueberries in the nose give way to hints of oak and a dusty floral note. Rich earthy notes of dark fruit on the palate lead to a tart finish that dries out to a base note of blueberry skins.	",Cascade Blueberry Ale,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,926.0,402.0,2571.0
37,9.4%,97.0,4.38,"Malt Beverage with Cherries Added and Aged in Oak Barrels,
,
A blend of double red ales aged in oak barrels and foudres for up to 22 months with Pinot Noir grapes from Oregon’s famed Willamette Valley wine region. The most regal in our series of “Sang” projects, Sang Royal captures complex notes of summer berry fruit, plum, oak and spice, with a vibrant acidity and soft tannic structure.	",Sang Royal,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,944.0,51.0,453.0
38,5.7%,86.0,3.83,"A Unique Dry-Hopped Sweet Tart Sour Mash Ale. We soured the wort on the Hot Side with Lactobacillus for a few days and then brewed up this smooth and hoppy sour. It tastes like a big bowl of fruity candy or some chewable flavored vitamins, but what's the difference? It's sweet, tart, and sassy, just like the tasty cherry pie that your favorite aunt makes. For all the Aunt Sally's out there, You know who you are...	",Aunt Sally,Wild Ale,Lagunitas Brewing Company,957.0,1640.0,23098.0
39,8%,97.0,4.38,"The Wanderer is a special blend of oak aged ales that we made with Craig and Beth from San Francisco's City Beer Store. Blending a mix of sour ales and our anniversary ale the base of this beer has a delightfully sour tinge on top of a hearty malt backbone. To add to the flavor, Craig and Beth selected blackberries and bing cherries to be added to the ale adding to it's already fruity complexity. This ale went on to win the silver medal for wood & barrel aged sour fruited ales at the 2011 Great American Beer Festival.	",The Wanderer,Wild Ale,Bruery Terreux,969.0,50.0,450.0
40,8.5%,97.0,4.4,"This one-of-a-kind NW sour is a blend of Belgian strong blondes aged in white port barrels with raspberries, then blended with select barrels of strong blondes that were aged on the toasted meat from the apricot nut, or Noyeaux.,
,
13 IBU	",Cascade Noyaux,Wild Ale,Cascade Brewing / Raccoon Lodge & Brewpub,981.0,38.0,392.0
41,8%,100.0,4.65,Blonde American Wild Ale that was fermented and aged in Chardonnay barrels with Missouri grown White Peaches. The Batch 1 cocktail for fermentation includes both spontaneously captured yeast and bacteria from our family's farm and our house wild blend.	,Fuzzy,Wild Ale,Side Project Brewing,985.0,2.0,37.0
43,6.5%,93.0,4.2,Funky Gold Mosaic is a dry-hopped sour ale. We took Prairie Gold and dry-hopped it with a huge amount of Mosaic hops.	,Funky Gold Mosaic,Wild Ale,Prairie Artisan Ales,995.0,258.0,1763.0
44,6.6%,94.0,4.22,"Cherry pie! Cherry pie! Cherry pie! This light and fruity ale is black in color, though your palate would never know it. Black Angel is fermented on the Wicked Wild yeast and then moved into stripped down Four Roses bourbon barrels and aged on tart cherries, sweet cherries, and Italian plums. The white oak and roast malt add notes of vanilla and graham cracker that, when blended with the tart sweetness of the fruit, bring out a robust cherry pie flavor.	",Black Angel,Wild Ale,Wicked Weed Brewing,996.0,219.0,1540.0
45,7.2%,98.0,4.42,"We've all come to know and love our barrel-aged sour rye ale, Sour in the Rye. Now it's time to enjoy a bright variation of it that has kumquats added to the mix. Not only is ""kumquat"" one of the most fun fruit names to roll off the tongue, it also treats the entire palate to a unique display of fruity characteristics. The tart, sweet, citrus and tropical notes of both the kumquats and tangerine zest strike a balance with the honey, vanilla and woody character imparted from barrel-aging. At the same time, the unique bitterness of the citrus fruit locks step with the clove and pepper notes imparted from the rye.	",Sour In The Rye - Kumquats,Wild Ale,Bruery Terreux,1012.0,28.0,337.0
47,11.4%,93.0,4.16,Ale with raspberry purée added and aged in oak barrels.	,Riserva,Wild Ale,Weyerbacher Brewing Co.,1051.0,360.0,2384.0
48,6.5%,98.0,4.45,"Blonde Ale aged in Chardonnay barrels with brett, lacto, and pedio (base beer is Temptation). This sour barrel-aged blonde ale has 31 pounds per barrel of fresh raspberries to make a beautiful reddish/pink beer! Nicely balanced with sweet raspberry and tartness. This beer is made only once a year in conjunction with our month-long fundraiser for the Sutter Breast Care Services of Santa Rosa during Breast Cancer Awareness Month! 100% of the proceeds of this beer will be used to help men and women in our community in their fight against breast cancer!,
,
Batch 1 (2010) - Sonambic base, 5.9%,
Batch 2 (2011 - present) - Temptation base, 6.5%	",Framboise For A Cure,Wild Ale,Russian River Brewing Company,1071.0,22.0,263.0
49,6.66%,93.0,4.17,"This Arcane Seal guards an enigmatic brew that is FUNKY, DARK, and SOUR. If you choose to break the seal, YOU HAVE BEEN WARNED!,
,
100% Brettanomyces Dark beer fermented in stainless and aged in red wine barrels. ""Brett"" is a unique yeast strain that produces flavors that would be considered offensive if they were not intentional. Flavors of sour cherry, tobacco, oak, and classic ""Brett"" barnyard funk balanced by dark Munich malt chewiness. Enjoy immediately or age at cellar temperature for a couple years.	",Pentagram,Wild Ale,Surly Brewing Company,1076.0,326.0,2208.0
50,5%,97.0,4.39,"Naturally soured by farm valley winds blowing wild yeast into our oak casks. Finally, after a year and a half of patient coaxing Wisconsin dark malts whirl in a kaleidoscope of cedar, caramel and tart green plum exuberance. Available to the exclusive few who travel off the beaten paths, this is authentic Wisconsin sour brown ale. Truly unique this Sour Ale is brewed for those who live on the wild side and is suitable for laying down or consuming immediately, serve at 40 – 45 °F.	",Thumbprint Wild Sour Ale,Wild Ale,New Glarus Brewing Company,1082.0,45.0,414.0
