,Barrels,Number of Breweries,Total Barrels,Taxable Removals,Total Exported,Year
0,"6,000,001 Barrels and Over",11,121637275.33,113249020.31,1567327.27,2008
1,"1,000,001 to 6,000,000 Barrels (5)",9,60822125.25,56064453.82,2170988.71,2008
2,"500,001 to 1,000,000 Barrels",7,4881373.45,4299799.29,49987.21,2008
3,"100,001 to 500,000 Barrels",30,7064945.49,6151586.6,262872.84,2008
4,"60,001 to 100,000 Barrels",20,1587136.1,1331836.9,5626.56,2008
5,"30,001 to 60,000 Barrels",26,1162296.26,1055970.16,12641.63,2008
6,"15,001 to 30,000 Barrels",43,895640.53,765924.75,1138.74,2008
7,"7,501 to 15,000 Barrels",40,422694.05,327582.03,15888.96,2008
8,"1,001 to 7,500 Barrels",360,851718.37,750998.94,10738.76,2008
9,"1 to 1,000 Barrels",979,381660.76,350441.12,252.03,2008
10,Under 1 Barrel,163,0.67,7725.03,166.68,2008
11,"6,000,001 Barrels and Over",18,171232881.59,159643984.23,3639970.11,2009
12,"1,000,001 to 6,000,000 Barrels (5)",4,9970404.28,9592722.75,14548.37,2009
13,"500,001 to 1,000,000 Barrels",7,4831385.68,4535659.48,21563.66,2009
14,"100,001 to 500,000 Barrels",27,5422155.72,4469288.93,128000.13,2009
15,"60,001 to 100,000 Barrels",19,1501976.56,1224618.44,95732.77,2009
16,"30,001 to 60,000 Barrels",32,1412244.73,1233958.75,14369.85,2009
17,"15,001 to 30,000 Barrels",40,895133.22,750528.77,19808.1,2009
18,"7,501 to 15,000 Barrels",42,442753.54,388968.45,240.18,2009
19,"1,001 to 7,500 Barrels",357,859934.81,769155.15,,2009
20,"1 to 1,000 Barrels",1037,400401.17,371872.85,,2009
21,Under 1 Barrel,195,3.7,14711.36,,2009
22,"6,000,001 Barrels and Over",17,160771860.70000002,149598222.82,3659459.42,2010
23,"1,000,000 to 6,000,000 Barrels (5)",5,15450769.1,14777149.880000003,37401.27,2010
24,"500,001 to 1,000,000 Barrels",9,7138171.64,6362275.190000001,16610.42,2010
25,"100,001 to 500,000 Barrels",32,6123725.23,5127607.785000001,254925.11,2010
26,"60,001 to 100,000 Barrels",16,1226091.75,1034161.388,12534.0,2010
27,"30,001 to 60,000 Barrels",38,1544051.0999999999,1256492.475,42409.47,2010
28,"15,001 to 30,000 Barrels",40,911065.7499999999,781016.1499999999,19077.36,2010
29,"7,501 to 15,000 Barrels",51,560159.3400000001,465843.8800000001,4521.08,2010
30,"1,001 to 7,500 Barrels",428,1059505.1630000006,962969.6329999999,2227.7,2010
31,"1 to 1,000 Barrels",1178,426003.38299999974,393941.57000000007,1279.83,2010
33,"6,000,001 Barrels and Over",16,138963353.84,128108304.25,3578089.34,2011
34,"2,000,000 to 6,000,000 Barrels",5,17703591.0,16695626.309999999,84271.18,2011
35,"1,000,001 to 1,999,999 Barrels",9,13524548.35,12843570.78,363998.23,2011
36,"500,001 to 1,000,000 Barrels",11,8448633.99,7946481.070000001,50702.23,2011
37,"100,001 to 500,000 Barrels",41,7926808.210000002,6624765.180000001,242865.43,2011
38,"60,001 to 100,000 Barrels",16,1157839.9,1059934.77,11701.43,2011
39,"30,001 to 60,000 Barrels",43,1754234.5499999996,1476996.368,52204.69,2011
40,"15,001 to 30,000 Barrels",42,893273.36,710825.6200000003,40413.02,2011
41,"7,501 to 15,000 Barrels",63,662095.4599999998,577424.6699999999,270.75,2011
